date,value
7/02/2021,86
8/02/2021,83
9/02/2021,95
10/02/2021,92
11/02/2021,93
12/02/2021,92
13/02/2021,92
14/02/2021,95
15/02/2021,93
16/02/2021,95
17/02/2021,95
18/02/2021,91
19/02/2021,93
20/02/2021,91
21/02/2021,91
22/02/2021,94
23/02/2021,94
24/02/2021,76
25/02/2021,79
26/02/2021,55
27/02/2021,56
28/02/2021,55
1/03/2021,38
2/03/2021,78
3/03/2021,78
4/03/2021,84
5/03/2021,77
6/03/2021,77
7/03/2021,76
8/03/2021,81
9/03/2021,81
10/03/2021,68
11/03/2021,73
12/03/2021,70
13/03/2021,74
14/03/2021,78
15/03/2021,76
16/03/2021,71
17/03/2021,71
18/03/2021,72
19/03/2021,71
20/03/2021,75
21/03/2021,73
22/03/2021,70
23/03/2021,66
24/03/2021,65
25/03/2021,60
26/03/2021,54
27/03/2021,65
28/03/2021,74
29/03/2021,72
30/03/2021,72
31/03/2021,76
1/04/2021,74
2/04/2021,74
3/04/2021,73
4/04/2021,74
5/04/2021,71
6/04/2021,75
7/04/2021,72
8/04/2021,73
9/04/2021,70
10/04/2021,70
11/04/2021,76
12/04/2021,74
13/04/2021,74
14/04/2021,75
15/04/2021,79
16/04/2021,78
17/04/2021,76
18/04/2021,79
19/04/2021,74
20/04/2021,73
21/04/2021,73
22/04/2021,65
23/04/2021,55
24/04/2021,37
25/04/2021,31
26/04/2021,27
27/04/2021,50
28/04/2021,59
29/04/2021,52
30/04/2021,51
1/05/2021,68
2/05/2021,66
3/05/2021,61
4/05/2021,68
5/05/2021,48
6/05/2021,65
7/05/2021,64
8/05/2021,67
9/05/2021,73
10/05/2021,72
11/05/2021,61
12/05/2021,68
13/05/2021,31
14/05/2021,26
15/05/2021,27
16/05/2021,20
17/05/2021,27
18/05/2021,21
19/05/2021,23
20/05/2021,11
21/05/2021,19
22/05/2021,12
23/05/2021,14
24/05/2021,10
25/05/2021,22
26/05/2021,22
27/05/2021,27
28/05/2021,21
29/05/2021,18
30/05/2021,10
31/05/2021,18
1/06/2021,20
2/06/2021,23
3/06/2021,24
4/06/2021,27
5/06/2021,24
6/06/2021,17
7/06/2021,15
8/06/2021,13
9/06/2021,14
10/06/2021,21
11/06/2021,21
12/06/2021,28
13/06/2021,23
14/06/2021,28
15/06/2021,38
16/06/2021,33
17/06/2021,26
18/06/2021,25
19/06/2021,23
20/06/2021,21
21/06/2021,23
22/06/2021,10
23/06/2021,14
24/06/2021,22
25/06/2021,27
26/06/2021,20
27/06/2021,22
28/06/2021,25
29/06/2021,25
30/06/2021,28
1/07/2021,28
2/07/2021,21
3/07/2021,24
4/07/2021,27
5/07/2021,29
6/07/2021,20
7/07/2021,28
8/07/2021,20
9/07/2021,20
10/07/2021,20
11/07/2021,20
12/07/2021,25
13/07/2021,20
14/07/2021,21
15/07/2021,20
16/07/2021,22
17/07/2021,15
18/07/2021,19
19/07/2021,24
20/07/2021,19
21/07/2021,10
22/07/2021,21
23/07/2021,23
24/07/2021,22
